id,博主名称,标题,正文内容,发布时间,点赞,收藏,评论,作者类型,叙述视角,内容主类型,是否涉及就医流程,是否涉及药物治疗,是否涉及共病/鉴别诊断,学习受影响,工作受影响,人际关系受影响,生活管理受影响,情绪管理受影响,是否直接引导自我判断,是否存在强共鸣式表达,是否提醒不要互联网诊断,是否建议寻求专业评估/医院就诊,是否提到早发性,是否提到跨情境性,是否提到持续性,是否提到功能损害,是否将普遍体验直接等同于ADHD,是否存在人格化/标签化/天赋化表达,是否存在商业导向,点赞数值,收藏数值,评论数值,作者类型标签,叙述视角标签,内容主类型标签,边界提醒
37,NeuroMate,女性 ADHD 的 8 大症状,#神经多样性 #Neuromate #adhd,02-04,349,155,24,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,349.0,155.0,24.0,心理咨询/心理科普账号,面向读者的科普/建议,症状共鸣/自我识别类,0
38,打网球的ADHD,千万不要去帮助A娃,"典型的，辅导作业
A娃软饭硬吃。
好心教他，他觉得你害他。
	
因为A娃的脑回路，理解不了良药苦口的抽象，
他们只有本能
1，我想不想
2，容易吗
3，规则。
	
通常，A娃到不了第3阶就会进入崩溃和应激反应。
然后把妈妈气个半死。
	
我发现这一点是一个妈妈分享他娃四则运算是先做看起来容易的一口答案，才不管你括号。
	
我自己的感觉是娃在四年级时能慢慢进入第3阶。
远程目标。
	
在这之前都是鼠目寸光。
我喜欢，我容易。
	
根据这个逻辑，真的就是简化目标。
比如我家英语就只练口语。
我读一句，他读一句
不烧CPU#养育孩子 #孩子 #教育孩子 #家庭教育 #辅导作业 #作业 #学习习惯 #小学生学习习惯",2024-09-12,422,457,241,5,3,5,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,422.0,457.0,241.0,普通泛生活博主,混合型,患者生活经验/困境叙事类,0
39,蓝心哔哔机,当正常人和adhd同时开始刷牙🦷,"ps.补药对号入座赛博确诊啊 只是代表有些adhd会有这些行为 不代表有这些行的人都是adhd
#精神状态 #内容过于真实 #adhd #记录日常 #我们的目标是没有蛀牙 #人类多样性观察样本",2025-01-25,6283,388,567,5,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,6283.0,388.0,567.0,普通泛生活博主,面向读者的科普/建议,症状共鸣/自我识别类,1
40,妙闻趣测站,🧠打破滤镜！ADHD并不等于“天才病”,"⚠“ADHD”智商真的都很高吗？拿数据来讲，北京大学进行的一项针对ADHD智力测验的研究表明，ADHD儿童的平均智商为96，而正常儿童的平均智商为105。
	
🤯事实上，多数研究都表明——ADHD群体的平均智力水平低于常人。虽然不乏少数人有较高智力，但大部分ADHD就和普通人智商差不多，甚至更低，本人一个同事的小女儿就是智商只有71的ADHD。
	
✅你觉得自己是ADHD中的天才？测测智商就知道了，国际标准的智力测试题链接给大家搬来了，点图片下方的【立即参与】就能自测✅
	
🔥那为什么大众会把ADHD等同于天才呢？好像很多人会举牛顿、爱因斯坦等等名人，说他们就是ADHD的代表。很多父母也以子女是“ADHD”自豪，觉得自己家孩子肯定智商很高，有很多ADHD也会说“我就说嘛，为啥我总是看不惯这些庸俗的世俗人，因为我有天才潜质啊”
	
🔎确实，不少名人是“ADHD”。但为啥牛顿只有一个？为什么爱因斯坦只有一个？当然是因为别人智商高了……
	
✅从表面来看，有时候很难分辨自己是ADHD还是高智商，有可能也是两者共有。想给自己测智商或者给自己的孩子测智商的都可以点图片下方【立即参与】测《最强大脑》同款智力测试题，本测试题适合5-70岁不同年龄段✅
	
😇测完别忘了来评论区分享下，你们的智商是多少？超过了多少同龄人？
﻿#adhd科普﻿ ﻿#北京大学﻿ ﻿#智商﻿ ﻿#天才﻿ ﻿#ADHD﻿ ﻿#智商测试﻿ ﻿#干货﻿ ﻿#科普﻿ ﻿#性格测试﻿ ﻿#高智商",2025-04-07,1171,724,57,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1171.0,724.0,57.0,商业/营销导向账号,面向读者的科普/建议,科普纠偏类,0
41,戴阿蒙,ADHD爱干的8件事,#内容过于真实 #搞笑 #ADHD #精神状态 #段子,2024-07-22,3.4万,3601,1183,5,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,34000.0,3601.0,1183.0,普通泛生活博主,面向读者的科普/建议,症状共鸣/自我识别类,0
42,无脚鸟,似乎没人讨论ADHD的impulsivity,"当讨论ADHD的时候，绝大多数都集中在注意力上，每个人都说自己难以专注，可是不怎么说hyperfocus过度专注。
	
但其实ADHD有三大指标，多动，冲动，和注意力缺陷。
	
冲动impulsivity是很少有人提及的一点，不知道是不是没人意识到。而本人就是有很明显的冲动特质。
	
从很小开始，家人对我的形容就是“脾气大，来的快也去的快”。遇到不愉快我表现的比常人更激烈，无论是高兴还是难过都会比其他人饱满。而且在愤怒发泄之后，我的“脾气”会瞬间消失（注意力分散的好处）。
	
也做不成一个情绪稳定的人，被社会和环境捶打了这么多年，我早已将masking修炼的炉火纯青，不过遇到很偶尔的场合一旦我释放我的真实攻击力，会把人吓得目瞪口呆。
	
说话直白，过于直白，虽然说的都是事实，但其实我也知道可能有更好的表达方式，可当下嘴会比脑子快，说完之后总会被评价说话伤人。
	
我这些描述也都是基于大多数所谓“正常人”的视角来评价的，为了方便更多人理解。但我已经接受了自己的这些特质，而且不打算改，写到基因里的东西怎么改？那和改自己肤色或者性别有什么区别？
	
这些特质并非全都只是负面影响，因为性格直白简单，所以我周围也是一样直白简单的圈子，没有那么多弯弯绕绕。脾气来的快去的快，可能是我很有韧性的重要原因之一。在痛苦的时刻我会不断被周遭吸引注意力，失恋都走出来比别人快🤣而且因为冲动特质很有张力，我可以在吵架或者发生矛盾的场合非常能镇得住对方。和很多害怕冲突的人相反，我完全不害怕冲突，反而希望大家直接把话说白说开。甚至，我觉得自己有点好斗，我在面对冲突的时候兴奋远远大于害怕。来啊，干就干，谁怕谁？
	
最重要的，我觉得冲动可能是生命力的另一面。因为冲动是充满动态的，动起来的才是生命力，所以总是有人说我很有生命力，虽然我自己并不知道怎么有了，我只是在做我自己而已。
	
不过impulsivity对亲密关系影响会很大，容易说很伤人的话，或者smash一段关系。所以partner必须是个能忍且会顺毛的🚬
	
有没有一样冲动特质明显的adhder来交流一下🚬
	
#oc #神经多样性 #注意力分散 #adhd #冲动",02-22 爱尔兰,2099,606,263,4,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,2099.0,606.0,263.0,疑似患者/自述困扰者,第一人称亲历,症状共鸣/自我识别类,0
43,哈佛专注力,ADHD 聪明却混乱的孩子是这样的…,"他们往往拥有活跃的创造力和敏锐的思维（聪明），却因大脑执行功能发育不均衡，难以调控注意力、抑制冲动和组织行为（混乱）。这种矛盾并非态度问题，而是神经发育差异所致。通过科学干预帮助孩子将潜能转化为有序的成长力。
	
1. 【坐不住】
- 很难安静坐着（吃饭、上课扭来扭去）
- 总是爬上爬下或在座位上动来动去
- 手里一定要玩点东西（橡皮、衣角）
	
2. 【等不了】
- 排队、玩游戏时特别没耐心
- 喜欢打断别人说话
- 想要的东西必须立刻得到，否则大发脾气
	
🚗3. 【没动力】
- 缺乏内在热情，总依赖奖励或截止日期推动
- 需要强外力才能启动
- 大脑“动力系统”反应弱（对延迟满足无感）
	
4. 【注意力不稳定】
- 分心大王：
风吹草动（窗外鸟叫、同学咳嗽）就走神，做作业拖拉
- 选择性专注：
只对自己超级喜欢的事（拼乐高、打游戏）高度专注
- 丢三落四：
经常忘带课本、作业、文具，交代的事情转头就忘
	
5. 【做事没条理】
- 书包、书桌、房间总是乱糟糟
- 做事情缺乏计划
- 思路跳跃，很难组织好语言或步骤
	
6. 【严重“拖延症”】
- 作业总要拖到最后一刻才开始
- “启动困难”，感觉任务像座大山
- 最后关头赶工，质量忽高忽低
	
7. 【爱做“白日梦”】
- 看起来安静乖巧，但眼神发呆，心思早飞了
- 老师反映“人在心不在”，容易神游
- 喜欢沉浸在自己的幻想世界里
	
8. 【记性“挑食”】（细节控 丢整体）
- 能记住书本里某个小插图，却讲不清故事主要内容
- 刚学的知识点转头就忘，但很久以前的小事却记得很清楚
- 听指令常听一半漏一半（比如听到“拿书包”，但忘了还要“穿鞋”）
	
9. 【睡眠问题多】
- 晚上躺床上脑子停不下来，入睡困难
- 睡眠浅、容易醒，早上起不来
- 睡不好时，白天的注意力会更差，可能更“多动”
	
10. 【情绪容易“过山车”】
- 情绪来得快、去得快，因为小事激动或沮丧
- 挫折承受力较低，容易放弃或发脾气
- 比较敏感，对批评反应强烈
	
🌈 家长关键点：
ADHD孩子需要理解与科学帮助
专业评估是第一步。治疗包括行为训练、家长指导，有时配合药物或高科技产品辅助
可以思我拿《三甲🏥同款测试表》 自测
	
#别人放假我学习 #哈佛专注力陈老师 #脑电生物反馈 #育儿  #孩子拖拉磨蹭 #哈佛专注力 #杭州六小龙 #专注力 #专注力差 #注意力训练 #注意力",2025-06-19,650,744,136,2,2,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,650.0,744.0,136.0,心理咨询/心理科普账号,面向读者的科普/建议,症状共鸣/自我识别类,0
44,ADHDer日记,ADHD好物推荐1-白板,"相比拿着草稿纸坐着写，ADHD 用白板学习、工作真的舒服太多。
首先，站着更容易进入状态，思维是流动的，人也是在动的。其次，白板空间大，你可以随便写、随便画，随时擦掉不需要的东西，完全不会被那些乱七八糟的痕迹“困住”。
草稿纸的问题在于——越写越乱。信息堆在一小块地方，很快就不知道哪个是刚刚记下的重点，越找越急，注意力瞬间崩掉。很多 ADHDer 其实不是不会解题，而是需要先“到处找一找”，突然某一刻灵光一闪，而不是一步一步按流程来。
白板就像给这种“探索式思维”留足了空间。没用的东西一擦就没，只留下真正重要的几条线索，还能用不同颜色标重点，视觉刺激更清楚。
最关键的是，白板那种顺滑的手感、可随意移动的姿势、能边想边走的自由，比抱着一支中性笔硬挤在桌前舒服太多了。#ADHD #PhD #分散注意力",2025-12-02,889,396,34,3,1,5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,889.0,396.0,34.0,患者/确诊者本人,第一人称亲历,患者生活经验/困境叙事类,0
45,4566,怎么判断你不是ADHD,#adhd #有心事 #我的新年人设 #年夜饭 #美食,2025-01-23,4.3万,2502,4778,9,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43000.0,2502.0,4778.0,无法判断,面向读者的科普/建议,科普纠偏类,1
46,星光苒苒,张思邈：ADHD逐渐好转,"啊啊啊啊啊做梦都没想到孩子adhd能好起来。这周带孩子去看了，大白说我家孩子基本好了，给了我一些指导，让我继续坚持，回想起过去一路走过来的心酸苦楚，只有a娃妈妈能够感同身受吧！现在把一些经验分享出来，希望能帮助到同样被a娃困扰的家庭！
	
#ADHD
	
#adhd症状
#宝妈带娃",2024-09-23,1108,1292,246,5,3,5,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1108.0,1292.0,246.0,普通泛生活博主,混合型,患者生活经验/困境叙事类,0
47,郝番茄🍅,不是我懒 只是我有ADHD…,"我连续两年都被人说是ADHD
做相关测试题也是朋友里断层高分
视频仅供娱乐 但中的太多建议还是去查一查
#ADHD #人间真实 #多动症 #自控力 #拖延症 #注意力不集中",2024-07-14,9015,1218,1074,4,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,9015.0,1218.0,1074.0,疑似患者/自述困扰者,第一人称亲历,症状共鸣/自我识别类,1
48,我不吃心脏,没有ADHD的可别碰这玩意,"在一个精致上进博主视频里看到她一直在盘tangle，特地去搜了一下发现好多人安利，都说可以帮着集中注意力，还能解压。
想着自己最近压力太大，总静不下心来，于是火速在橙色软件搜索，为了保证是正品还买了个最贵的！
今天收到之后，抱着虔诚的心态，仔细洗手，擦了香香护手霜，开始盘。刚捏着扭来扭去的时候，会有种大脑前额叶被按摩了几下的感觉，但注意力完全被转移到扭来扭去凹凸不平的手感上了，一点也无法投入工作
#新奇的玩意儿 #注意力 #tangle温变 #tangle #一些奇奇怪怪的东西",2025-12-14,159,33,40,5,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.0,33.0,40.0,普通泛生活博主,第一人称亲历,患者生活经验/困境叙事类,0
49,重庆儿科教授任永平,别跟ADHD孩子较劲，他脑子还没长好呢,"🏥在日常的门诊工作中，我常常遇到为孩子注意力缺陷多动障碍而满心忧虑的家长。
	
👉🏻有的家长说，老师的投诉电话成了家常便饭，每次看到学校发来的消息，心里就一阵紧张和害怕。
	
📝还有的家长甚至表示，因为孩子在课堂上控制不住自己的行为，学校提议家长陪读，而且孩子和同学相处时也是矛盾不断。
	
🚫然而，我们得清楚，这些孩子所面临的困境，并非是他们不想努力或者故意捣乱。实际上，他们的大脑发育存在先天性的不足或病症，这使得他们在学习、家庭以及社交等诸多方面遭遇巨大的挑战。这种挑战不仅体现在学业成绩上，还深深影响着他们与亲朋好友以及同龄小伙伴的交往
	
📄研究显示，ADHD 儿童的大脑发育通常比正常儿童滞后 2 - 5 年。但这绝不意味着他们在智力方面有缺陷。恰恰相反，好多多动症的孩子智商其实很高。只不过，他们往往比较情绪化，难以把控自己的行为，这正是因为他们的大脑在情绪调节、组织规划以及决策等方面存在困难。
	
🫧想象一下，面对一项任务，其他孩子或许能专心完成，而多动症的孩子却可能会发呆、撕纸、玩笔，没办法像别的孩子那样有效地处理信息。同样，碰到问题时他们也更容易情绪失控，冲动行为频繁出现，这导致他们在自我控制和情绪管理上特别费劲。
	
👨‍👩‍👦所以，作为家长，我们需要更深刻地去理解和接纳这些孩子。他们的大脑发育和同龄孩子有差距，这意味着他们需要更多的时间和耐心去成长。我们不能简单地把他们和其他孩子作比较，而是要给予他们更多的支持与鼓励，助力他们逐步克服困难，减少在学业和社交中可能产生的负面情绪与行为。
#重庆 #育儿 #关爱儿童健康 #ADHD #多动症 #孩子注意力不集中 #大脑 #发育迟缓 #注意力分散",2025-09-15,178,110,37,1,2,2,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,178.0,110.0,37.0,医生/医院/专业机构,面向读者的科普/建议,科普纠偏类,0
50,BA是A不是B,吃完专注达的ADHD都哭了,"因为当正常人的感觉太好了。
	
原来多巴胺分泌充足的世界是这么的稳定、平静、有序、柔和
	
原来曾经3天都做不完的事只要分好轻重缓急，排好先后顺序就会一个个得到解决
	
原来当身体不再无端疲惫，头脑不再无端模糊、情绪不再无端起伏，
我可以是一个这么优秀的人
	
原来真的不一样，原来我平时真的很辛苦，辛苦勉强维持一个勉强好的状态
	
原来我的那些做不到，都可以被做到。
	
实在是难以详尽我复杂的感受。
	
每一次，在专注达的剩余影响里低落就开始涨潮，
因为多巴胺即将回落到ADHD再熟悉不过的地步，
因为我还没有找到方式完全说服自己又变回自己。
	
#ADHD#专注达  #多巴胺#正常#adhder#但是#明天一定会更好",2025-08-17,1560,481,214,3,1,4,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1560.0,481.0,214.0,患者/确诊者本人,第一人称亲历,药物/治疗体验类,0
51,心相伴ADHD多动症成长指南,带孩子去确诊adhd，意义大吗,"我作为一名ADHD女孩的妈妈，打算从两个方面来谈一下我的感受。
	
一、从孩子发展来看
	
意义太大了。
	
在我的女儿没有被确诊为ADHD之前，我和孩子几乎每天都在爆发战争，书写不工整、考试粗心马虎、弹琴错音，个人卫生收拾不干净等等，冲突到极到，甚至产生过和她一起跳楼的想法。我把这一切归于孩子的态度问题，以及我们家的教育方式问题。
	
我不断自责、反思，然后被深深的挫败感击中。孩子在我的日常吼叫中，非但没有改变那些不好的学习生活习惯，反而变得与我日益疏离，情绪问题也非常严重，对自己也呈现出越来越多的负面评价，甚至是习得性无助
	
。很多事情还没开始做，她就会说，“我不会”，“我不行”。
	
确诊之后，我对孩子的态度会有很大的转变，会觉得孩子是无辜的，她是需要我的帮助的。从这一点看，从确诊那天开始，一切都只会是在那一天之后越来越好。孩子的自我评价、情绪、亲子关系这些问题都会有立竿见影的改变，甚至带来症状的改善。当然——前提是父母真正了解、理解ADHD到底意味着什么，并且真正接纳孩子。
	
举个例子：
	
孩子因为执行功能
	
受损，做题常常丢失重要信心。没确诊之前，我总觉得是粗心，不断地吼她，要求她细心，但是基本没有什么效果。之前如果我看到她“本应该”得满分的试卷，因为马虎得了90分，我就会非常生气，不断批评。可是确诊后，我看到90分的卷子，会觉得：啊，真不容易啊，前面那么多容易粗心的地方居然都做对了，孩子真的很努力了。然后我会从草稿纸怎么用开始，一点点告诉她弥补执行功能不足的办法。
	
目前，至少在我观察来看，孩子的心情比确诊之前轻松太多。虽然她那些大大小小的问题还是存在，但再也不会轻易遭来责骂了，而是能真正得到来自父母的各种方法的帮助。同时，也因为父母在认真发现她的各种优点，她的自信心自尊心都得到了提升。
	
这当然对孩子日后发展意义重大。
	
二、从父母来看
	
孩子的问题不是我造成的，不是因为我的教育方法不对造成的。原来孩子诸多问题，都是因为孩子的大脑发育造成的，作为父母的内疚感、耻感会减少很多。
	
接纳孩子是ADHD这个事实，实事求是地看待孩子的表现，对孩子抱有一个更客观的期待。同时，给予孩子更多更多的包容和理解，尽最大的可能去帮助孩子。无论用药与否，最关键的是在日常琐事中，重建孩子的自信，开放地正向地看待孩子，学习科学的方法帮助孩子。
	
#多动症干预 #ADHD儿童 #多动症 #A娃 #ADHD #adhd",2025-04-21,299,236,169,5,3,3,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,299.0,236.0,169.0,普通泛生活博主,混合型,确诊/就医流程类,1
52,sio2doll,a娃日常之使不完的牛劲,"一早8点多接到老师来电说沙漏碎了。手破了流了很多血。一路一脸懵得百思不得其解。摔碎了怎么还能出很多血呢。了不起捡玻璃手指划个口子啊。能出多少血？到学校门口一看老师的手艺着实吓了一跳。社区医院的医生也被这手艺吓得不敢拆包。只能转头儿童医院。
一路上问清楚是崽自己把沙漏捏炸了。所以伤口很深。手指缝了四针。力气也是真大啊。。。。。
但是也不得不夸夸，手指头清创和缝针都是非常疼的。心理建设10分钟后一边哇哇叫一边坚持弄完。而且全程目不斜视看着医生操作。真是又勇又怂
#多动症ADHA",2024-03-06,77,7,11,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77.0,7.0,11.0,普通泛生活博主,第一人称亲历,患者生活经验/困境叙事类,0
53,NeuroMate,真 vs 伪ADHD,"真正的ADHD，是多个无数崩溃的的日常……
	
执行功能瘫痪：明明只是刷牙、洗碗这种小事，大脑却像卡壳一样，连第.一.步都迈不出去，不是懒，是做不到；
时间感知错乱：以为只过了20分钟，实际已经2小时；把饭菜放进冰箱就彻底忘记，直到发霉才发现；
情绪失控+高敏感：一点小事就触发战斗或逃跑反应，社交后要花好几天回血，还容易因为他人的评价陷入自我否定；
生活失控：因为忘交保险弄丢车、证.件过期浑然不觉、工作频频失误被辞退，不是不上心，是大脑根本无法维持常规运转。
	
ADHD不是人设，也不是偷懒理由，是需要被正视的神经发育多样性。如果只是偶尔走神、忘事，别再给自己贴ADHD的标签啦~
#神经多样性 #Neuromate #adhd #分散注意力",01-30,125,46,2,2,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,125.0,46.0,2.0,心理咨询/心理科普账号,面向读者的科普/建议,科普纠偏类,0
54,Ikuyo,喝了一罐像用了不好的东西一样……,"整个人思路都清晰了，启动困难不存在！乱想影响学习进度也不存在了！！视频都能拉倍速学了。
甚至能同时思考，整个人都很精神啊。
也是刷到推荐喝绿魔，但我喝粉魔比较有用！！适合本考研刚开始启动难坚持难上加难的
不过有没有姐妹知道一天一罐会影响身体健康吗？想在备考的这一年喝。
#adhd #魔爪",2025-03-19,5219,1905,634,4,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5219.0,1905.0,634.0,疑似患者/自述困扰者,第一人称亲历,药物/治疗体验类,0
55,翌仙心理笔记,当你是INFP并且还是ADHD的时候：,#内容过于真实 #INFP #isfp #infj #adhd #本人最近的精神状态,2025-01-24,1.2万,2598,1005,5,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12000.0,2598.0,1005.0,普通泛生活博主,第一人称亲历,身份认同/人格化/天赋化表达类,0
56,女大在战斗,独居是ADHD毁灭性的人生灾难,生活节律保证不了一点，看着健康的作息像决堤一样无法挽回地垮掉真的很无助很无力。永远会出门迟到错过班车，永远会启动困难到晚上十二点还是没有去洗澡…更不用说晒不够的太阳，永远觉得孤单。#adhd #留学,2025-01-05,1.1万,3771,1238,4,1,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,11000.0,3771.0,1238.0,疑似患者/自述困扰者,第一人称亲历,患者生活经验/困境叙事类,0
57,无敌邪恶狗剩恶魔,服药才知道adhd以前过的都是什么苦日子,"本人属于身体对药物之类的特别敏感的那种人，喝了咖啡马上诡异地亢奋 吃了感冒药马上神清气爽
	
可能是因为这个原因，虽然说是三个礼拜左右才能起效的托莫西汀，本人服下马上感觉行动力特别强👍🏻👍🏻👍🏻
	
这种感觉怎么说呢，就是从2g一下变成5g的感觉。
	
以前是我想睡觉，想起床，想做事都有一个缓冲的过程，要加载一段时间。而在这段时间我又容易被其他事物吸引，感觉我的生活一直被乱七八糟的缓冲填满，又不断缓冲新的东西占据着我小小的运行内存。
	
现在是飞速5g，我想睡觉马上就能上床铺被子躺下，睡醒了想起床马上就能起来，而不是再拖一会玩一会手机。
	
这种感觉最明显的时候就是我半夜起来上厕所，平时我想上厕所也都是先缓冲一会，不想结束现在的动作，但是又有尿意。现在是 我想上厕所马上就能起身去上，闪电般的反应👍🏻👍🏻👍🏻
	
早上起来想去取快递买东西也能马上动身👍🏻👍🏻👍🏻
	
而且我平时想去浏览器或者小红书搜什么东西，点开马上就会被主页吸引，忘掉我本来要做什么。现在就能非常流畅地无视它们，丝滑地打开搜索框输入信息。
	
不过因为我今天没看什么长一点的视频，不太确定“看视频会需要来回倒回去”这点是否得到缓解。
	
原来正常人平时过的这么爽👊🏻👊🏻👊🏻我感觉今天一整天都特别特别爽，身体完全被我掌控的感觉👍🏻我想干嘛就能干嘛👍🏻而且我也没感受到什么副作用，可能是我平时吃饭就少，习惯了吃东西少。
	
太爽啦！！！
	
可惜的一点是专注达没开到，听说专注达药效更是强劲 等哪天开到我就试试看！#集中注意力 #托莫西汀 #adhd #服药 #注意力分散 #专注达",2025-02-20,1.2万,5857,2359,3,1,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,12000.0,5857.0,2359.0,患者/确诊者本人,第一人称亲历,药物/治疗体验类,0
58,Aliens 👽,本 ADHD 已阵亡,以为是不适合吃托莫西汀，于是昨天去换成了专注达，今天吃了专注达结果一样很困,02-21 上海,79,48,133,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,48.0,133.0,患者/确诊者本人,第一人称亲历,药物/治疗体验类,0
59,教英语的装修老干妈,adhd进来交出你最夯的早买早享受,"我憋这事儿好久了！
刷了那么多好物推荐，咋就没见咱ADHD人的分享？！
得了，我直接开个帖当“征集处”，你们把压箱底的宝贝都甩出来！等攒够了，我给你们整个【ADHD人早买早爽好物大盘点】！
#ADHD #ADHD自救 #集中注意力 #注意力分散 #注意力 #无限回购#控制购买欲 #好物推荐 #买买买日常",4天前 北京,3899,2682,1639,5,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3899.0,2682.0,1639.0,普通泛生活博主,面向读者的科普/建议,患者生活经验/困境叙事类,0
60,Weiß S.,為什麼會有這麼多人認為ADHD較聰明,"沒辦法，我是很笨的ADHD
#adhd诊断",2025-01-22,523,154,193,3,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,523.0,154.0,193.0,患者/确诊者本人,第一人称亲历,身份认同/人格化/天赋化表达类,0
61,momo,ADHD最适合什么样的伴侣？,"感觉自己一天到晚八百个想法，有时候累得要死不想社交，有时候又有使不完的牛劲，想法太跳跃，和没有内涵的人交流不下去，又很讨厌太爱讲大道理和好为人师的人。
#ADHD #adhd #关注心理健康 #求助 #万能的小红书 #伴侣 #亲密关系",2024-12-05,1653,927,937,4,1,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1653.0,927.0,937.0,疑似患者/自述困扰者,第一人称亲历,患者生活经验/困境叙事类,0
62,小子小张,ADHD 一辈子 0 次心流状态,"仔细想想，初中过后就再也没有进入过“心流”状态。
对于我这种严重 ADHD ，心流必须靠强烈兴趣、 deadline 压力、高度刺激才能偶尔启动。
好痛苦。。怎么破。。。。。
#ADHD #注意力 #不想上班了 #哪有不疯的硬撑罢了",1天前 湖南,22,3,16,4,1,5,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,22.0,3.0,16.0,疑似患者/自述困扰者,第一人称亲历,患者生活经验/困境叙事类,0
63,GrapeVine思维藤蔓（ADHD）,关于ADHD的智力代偿,"ADHD“智力代偿”者，的外在表现往往是处于正常人和典型ADHD人士的临界。
	
也因此我经常会不断的怀疑自己到底是不是ADHD，即便已经获得确诊。
	
因为我们的外在表现实在是太正常了。
	
1.几乎所有的拖延情况在它足够重要时，我总能在最后一刻前完成，甚至质量还比其他人高。
	
2.专注达的作用更多是一直“提高阈值”的感觉，很微妙，但确实有变化，没有很强烈的别人所说的“戴上眼镜，整个世界清晰了”。
	
3.对于重要事件，一般很难忘记，相对不重要的事情，必须通过列list的形式记住，否则肯定会忘记。
	
4.对于时间的模糊感，没有那么的强，好像可以准确知道大概的时间。
	
5.由于超强的责任心，约会几乎永远都能掐点到，而不会迟到，对时间的计算有很好的把控。
	
6.如果某项任务不是内发性的，而是存在强烈的外在监督属性（如老板交给你有明确结束时间的明确任务），你会非常有动力去完成。
	
7.他人不太觉得你像ADHD,而更像是一个缺乏动力的普通人。
	
以上情况确实让我们看起来像普通人一样，但是我们真的是普通正常的人吗？答案是否定的。
	
问自己3个问题：
	
a.如果你在工作状态，请你做一次自我觉察，你是否时常身体紧绷？
	
b.在关注时间（例如坐从没有做过的公交或地铁）你是否会频繁查看时间？
	
c.当第二天有重要的事情时，你是否会耗费非常多的精力以让自己提高这件事在大脑里的优先级？（甚至可能前一天晚上会睡不着）
	
这其实就是大脑在通过智力代偿的表现。我们经常需要花费比正常人更多的精力和注意力在某件本不应该花费如此多精力的事情上，以达到和普通人差不多的成效。
	
我近期一度觉察到自己的身体紧绷，所以怀疑自己是否得了焦虑症，或者交感神经紊乱这样的情况。
	
我一直觉得我的时间观念非常的准确，但当我尝试放松自己紧绷的身体和精神。洗澡居然不知不觉洗了30分钟。我完全没有察觉到时间的流失，而因此错过了高铁。
	
同样当我放松精神不再关注一切，不紧不慢的整理行装时，居然迟到了20分钟才到客户公司，客户打电话给我，我才发现已经到了约定的时间点。
	
这时我才发现你身体的紧绷，你对某一件事的过度关注，其实是ADHD智力代偿者在社会化适应下，为了接近正常人所谓“标准”和水平，做出的妥协和让步。因此我们会付出比别人更多的精力也会更累，但这也造就了我们注定“非同寻常”。
	
接纳生活接纳自己，愿你有美好的每一天。
	
#注意力分散 #大脑 #学习动力不足#ADHD #打工人",2025-10-09,6727,3496,681,3,1,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,6727.0,3496.0,681.0,患者/确诊者本人,第一人称亲历,身份认同/人格化/天赋化表达类,0
